No,スレッドNo,スレッド長,投稿順,日付,いいね,スレッド合計いいね,表示回数,文字数,画像,動画,リンク,絵文字,テキスト,permalink,thread_id
11,4,3,2/3,2026-03-09,1,,,457,,,,,"3ヶ月でフォロワー3100名、256万インプ達成した1556件のデータ分析、実はNotebookLMをフル活用してます。  NotebookLMってGoogleが出してる無料のAIツールなんですけど、これがThreads運用にマジで使えます。  何ができるかっていうと、自分の投稿データをアップロードすると、どの投稿が伸びてるか、どのテーマが強いか、どの時間帯が効果的かを全部AIが分析してくれるんです。  僕も最初はスプレッドシートで手動分析してたんですけど、1556件もあると1日3時間かかってました。NotebookLM導入してからは30分で終わるようになりました。  しかも人間が見落とすパターンまで見つけてくれます。実際、「あのー」フックが勝率25%だったっていう発見もNotebookLMの分析から出てきたんです。  ちなみにChatGPTはアイデア出しや初稿作成、Claudeは長文の壁打ちや添削、Perplexityはトレンドリサーチと使い分けてます。  じゃあ具体的にどうすればいいかっていうと▼",https://www.threads.net/@kudooo_ai/post/DVrcD4yjxoo,DVrb4aED1Gy
12,4,3,3/3,2026-03-09,1,,,490,,,○,,"①NotebookLMに自分の投稿データをアップロードする  ThreadsのインサイトからCSVをダウンロードして、NotebookLMにアップロードしてください。過去30日分で十分です。「どの投稿が伸びてるか分析して」と聞くだけでOKです。  ②競合の投稿も分析する  伸びてるアカウントの投稿をテキストでコピーしてNotebookLMにアップロードしてください。フックの型、文字数、テーマの傾向が一発でわかります。  ③分析結果をもとに投稿テンプレートを作る  「伸びてる投稿の共通点からテンプレートを作って」と指示すれば、自分専用の勝ちパターンが完成します。  注意点としては、NotebookLMはあくまで分析ツールです。投稿文の生成はChatGPTやClaudeの方が向いてます。  AI文章がバレる癖があるので、必ず自分の言葉で編集してから投稿してください。  最新Threads運用の情報を見逃したくない方は、僕を（@kudooo_ai ）フォローしておいてください。  2026年最新版のThreadsノウハウはこちら▼ https://asto.jp/l/3p",https://www.threads.net/@kudooo_ai/post/DVrcRAbjy1Z,DVrb4aED1Gy
13,5,3,1/3,2026-03-09,5,8,1432,29,,,,,"新ルール出ましたね。Threads×note完全終了です。",https://www.threads.net/@kudooo_ai/post/DVrZInfFLIE,DVrZInfFLIE
14,5,3,2/3,2026-03-09,2,,,460,,,,,"3ヶ月でフォロワー3100名、LINE登録724件、256万インプ達成した1556件のデータを分析してる僕のところにも、この情報がかなり入ってきてます。  結論から言うと、Threadsからnoteに誘導する投稿のリーチが大幅に制限されるようになりました。  これ、マジでやばいです。  今までThreadsで集客してnoteで収益化してた人、多いじゃないですか。「続きはnoteで」とか「詳しくはnoteに書きました」みたいな投稿。  あれが完全にアルゴリズムに引っかかるようになったんです。  実際、僕の周りでもnote誘導の投稿だけインプレッションが激減してる人が続出してます。通常投稿が3000impなのに、note誘導の投稿だけ200impとか。つまり93%以上リーチが落ちてるんです。  これはMetaの方針として、外部プラットフォームへの離脱を防ぎたいっていう意図がはっきり出てます。Threads内で完結するコンテンツを優遇して、外に飛ばす投稿は表示を絞る。  じゃあ具体的にどうすればいいかっていうと▼",https://www.threads.net/@kudooo_ai/post/DVrZOGYlINH,DVrZInfFLIE
15,5,3,3/3,2026-03-09,1,,,454,,,○,,"①Threads内で価値提供を完結させる  メイン投稿+コメント欄2つの3部構成で、ノウハウを全部出し切ってください。「続きはnoteで」は完全にNGです。出し惜しみせずにThreads内で全部書くことで、アルゴリズム評価が上がります。  ②LINE導線に切り替える  プロフィールのリンクにLINE登録を設置して、コメント欄のCTAで「プロフィールのリンクから」と誘導する形に変えてください。僕はこの方法でLINE登録724件を達成しました。  ③過去のnote誘導投稿を削除する  低エンゲージメントの投稿を残すとアカウント全体の評価が下がります。過去にnote誘導で伸びなかった投稿は削除してください。  あと、プロフィールのリンクは制限対象外なので、そこにnoteのURLを置くのはOKです。  最新Threads運用の情報を見逃したくない方は、僕を（@kudooo_ai ）フォローしておいてください。  2026年最新版のThreadsノウハウはこちら▼ https://asto.jp/l/3p",https://www.threads.net/@kudooo_ai/post/DVrZbFyFJt7,DVrZInfFLIE
16,6,3,1/3,2026-03-09,1,1,767,50,,,,,"Threadsでコメント使ってない人、マジで損してます。  2026年の最強フォーマットを解説すると",https://www.threads.net/@kudooo_ai/post/DVqQ9WslSsC,DVqQ9WslSsC
17,6,3,2/3,2026-03-09,0,,,417,,,,,"3ヶ月でフォロワー3100名、LINE登録724件、256万インプ達成した1556件のデータ分析した結論なんですけど、コメント展開型が2026年の最強フォーマットです。  これ何かっていうと、メイン投稿を50〜150文字の短文フックにしてコメント2つで詳細を展開する形式なんですよね。合計900文字前後になります。  なぜ最強かっていうと  ・短文フックでスクロールを止める ・コメント欄を読むために滞在時間が伸びる ・滞在時間が伸びるとアルゴリズム評価が上がる ・さらに拡散される  っていう好循環が生まれるんです。  実際に僕の勝ち投稿を分析すると、2026年に入ってからはほぼ全てがこのコメント展開型でした。19632impや18805impを出してるのも全部この形式です。逆に中途半端な200〜300文字の投稿は勝ち投稿0件でした。短文フック+コメント展開か超長文の二択なんです。  じゃあ具体的にどうすればいいかっていうと▼",https://www.threads.net/@kudooo_ai/post/DVqRJ0hFTia,DVqQ9WslSsC
18,6,3,3/3,2026-03-09,0,,,487,,,○,,"①メイン投稿は50〜150文字のフックだけにしてください  「あのー、〜しない方がいいですよ」「〜してる人、損してます」のような1行で興味を引くフックだけを書きます。2行目は「解説すると」「理由を解説すると」でコメントに繋げてください。  ②コメント1に体験談とデータ根拠を400〜500文字で入れてください  冒頭に実績データを入れて、自分の体験談と具体的な数値で信頼性を出します。末尾は「じゃあ具体的にどうすればいいかっていうと」でコメント2に繋げてください。  ③コメント2にステップと注意点を400〜500文字で入れてください  ①②③の番号付きで具体的なやり方を解説して、注意点を2〜3個入れます。最後にCTAを置くのがテンプレートです。  注意点として、コメント欄は投稿直後に自分で書いてください。時間が空くと他の人のコメントが先に入って構成が崩れます。  最新Threads運用の情報を見逃したくない方は、僕を（@kudooo_ai ）フォローしておいてください。  2026年最新版のThreadsノウハウはこちら▼ https://asto.jp/l/3p",https://www.threads.net/@kudooo_ai/post/DVqRQFolSO4,DVqQ9WslSsC
19,7,4,1/4,2026-03-09,7,12,2207,54,,,,,"Threadsで相互フォローしてる人、アカウント終わるので損してます  相互フォローがNGな理由を解説すると",https://www.threads.net/@kudooo_ai/post/DVqOjVKFRWT,DVqOjVKFRWT
20,7,4,2/4,2026-03-09,2,,,430,,,,,"3ヶ月でフォロワー3100名、LINE登録724件、256万インプ達成した1556件のデータ分析した僕が断言しますけど、相互フォローとフォロバ企画はアカウントを壊します。  なぜかっていうと、2026年のThreadsアルゴリズムは「ニッチの一貫性」でアカウントをグルーピングしてるんですよね。  フォロバ企画で増えたフォロワーは、あなたのテーマに興味があるわけじゃないんです。料理、美容、ビジネス、全部バラバラの人がフォローしてくる。そうするとAIが「このアカウントは何のテーマかわからない」と判定して、誰のフィードにも表示されなくなります。  しかもフォロバで増えたフォロワーには何も売れません。興味がないので当然です。フォロワー数だけ増えて売上ゼロっていう最悪のパターンです。  僕はフォロバ企画もいいね周りも一切やってないですけど、LINE登録724件を達成してます。大事なのは数じゃなくて質なんですよね。  じゃあ具体的にどうすればいいかっていうと▼",https://www.threads.net/@kudooo_ai/post/DVqOp5oFWuz,DVqOjVKFRWT
21,7,4,3/4,2026-03-09,2,,,481,,,,,"①フォロバ企画への参加を今すぐやめてください  フォロワー数が増えても、興味のないフォロワーばかりだとアカウントの専門性が薄まります。アルゴリズムが「何のテーマか不明」と判断した時点でリーチが激減します。  ②投稿テーマの一貫性を80%以上にしてください  専門テーマの投稿を全体の80%以上にすることで、AIが明確にグルーピングしてくれます。日常投稿や関係ないテーマは20%以下に抑えるのがポイントです。  ③フォロワー数ではなくLINE登録数を指標にしてください  フォロワー1万人でもLINE登録0件なら売上はゼロです。逆にフォロワー3100名でもLINE登録724件なら十分ビジネスになります。大事なのは「あなたに興味がある人」の数です。  注意点として、既にフォロバ企画で増えたフォロワーをわざわざブロックする必要はありません。今後の投稿でテーマを一貫させれば、アルゴリズムは徐々に修正されます。あとインサイト祭りも同じ理由でNGなので気をつけてください。  詳しくは50分の動画講座とPDF50ページで解説してます。プロフィールのリンクから見れます。",https://www.threads.net/@kudooo_ai/post/DVqOwzEFaT6,DVqOjVKFRWT
22,7,4,4/4,2026-03-09,1,,,43,,,,,"1000名以上が受け取っている2026年最新版のAI×Threadsノウハウはこちら▼",https://www.threads.net/@kudooo_ai/post/DVqqYLJkW4I,DVqOjVKFRWT
23,8,3,1/3,2026-03-09,3,6,642,48,,,,,"あのー、Threadsって何を投稿するか？よりも、いつ投稿するか？が10倍大事なの知ってますか？",https://www.threads.net/@kudooo_ai/post/DVqLzlWFZft,DVqLzlWFZft
24,8,3,2/3,2026-03-09,1,,,412,,,,,"3ヶ月でフォロワー3100名、LINE登録724件、256万インプ達成した1556件のデータ分析した結論なんですけど、実は土曜日って平均2422impで全曜日の中で最強なんですよね。  え、じゃあ損してないじゃんって思いますよね。  でも土曜日に投稿してるのに伸びてない人、めちゃくちゃ多いんです。なぜかっていうと、土曜日の「投稿時間」が間違ってるんですよね。  土曜のゴールデンタイムは朝6時と夜18時なんですけど、昼12時とか午後3時に投稿してる人がマジで多いです。午後15〜18時は平均913impで勝ち投稿0件の死の時間帯です。せっかくの最強曜日を死の時間帯で無駄にしてるんですよね。  つまり「土曜日に投稿してる」こと自体は正解なんですけど、ゴールデンタイムを外して昼間や午後に出してたら全く意味がないということなんですよね。これめちゃくちゃもったいないことしてます。  じゃあ具体的にどうすればいいかっていうと▼",https://www.threads.net/@kudooo_ai/post/DVqMACPlU0X,DVqLzlWFZft
25,8,3,3/3,2026-03-09,2,,,488,,,,,"①土曜の朝6時に渾身の投稿を出してください  朝6〜9時は勝率3.5%で全時間帯の中で最高です。土曜の朝はゆっくりスマホを見る人が多いので、じっくり読まれるコメント展開型との相性が抜群です。予約投稿で確実に押さえてください。  ②夜18時にもう1本出してください  夜18〜21時は平均2242impで平均値が最強の時間帯です。土曜日×夜18時は「最強曜日×最強時間帯」の組み合わせなので、1番力を入れた投稿をここに持ってくるのがベストです。  ③午後15〜18時と午前9〜12時は絶対に避けてください  この2つは勝ち投稿0件の死の時間帯です。土曜日でもこの時間に出したら埋もれます。朝と夜に集中させるだけで同じ内容でもインプが2倍以上変わります。  注意点として、土曜の投稿は平日より多めに出すのがおすすめです。週末はじっくり読む時間がある人が多いので、900文字前後のコメント展開型が特に効きます。あと日曜も平均1890impで強いので、週末は投稿数を増やしてみてください。  詳しくは50分の動画講座とPDF50ページで解説してます。プロフィールのリンクから見れます。",https://www.threads.net/@kudooo_ai/post/DVqMGSglRVf,DVqLzlWFZft
26,9,3,1/3,2026-03-09,5,5,781,36,,,,,"Threads投稿の下書きをAIで作成してない人、1日3時間損してます。",https://www.threads.net/@kudooo_ai/post/DVqJZ6JleMr,DVqJZ6JleMr
27,9,3,2/3,2026-03-09,0,,,421,,,,,"3ヶ月でフォロワー3100名、LINE登録724件、256万インプ達成した1556件のデータ分析した僕の実体験なんですけど、AI導入前は投稿作成に1日3時間かかってました。  それがChatGPTを下書きツールとして使い始めてから30分に短縮されたんですよね。マジで衝撃でした。  具体的に何に使ってるかっていうと  ・アイデア出し: 「Threads運用で初心者が知らないこと10個出して」で一瞬 ・ペルソナ設計: ターゲットの悩みと欲求を深掘りしてフック案を出す ・初稿作成: 構成と要素を指定して下書きを作らせる ・フック生成: 1テーマから10パターンのフックを生成  ただしChatGPTの文章をそのまま投稿するのは絶対NGです。AI検出ツールGPTZeroの精度が99.3%なのでほぼ確実にバレます。あくまで初稿として使って、自分の体験談と数値データを入れて編集するのがポイントです。  じゃあ具体的にどうすればいいかっていうと▼",https://www.threads.net/@kudooo_ai/post/DVqJi_0lboW,DVqJZ6JleMr
28,9,3,3/3,2026-03-09,0,,,499,,,,,"①まずChatGPTにペルソナを設定してください  「あなたはThreads運用のプロです。ターゲットはフォロワーを増やしたい初心者〜中級者」と最初に入力するだけで出力の質が全然変わります。毎回ゼロから指示するより圧倒的に効率的です。  ②フック案を10個出させて最もインパクトのある1つを選んでください  「投稿時間帯についてスクロールを止めるフック案10個出して」と指示すると、自分では思いつかない切り口が出てきます。そこから1つ選んで自分の言葉に書き換えるのが最速です。  ③初稿を出力したら必ず3箇所以上を自分の体験に書き換えてください  「僕の場合は〜」「実際に試したら〜」という一次情報を入れるだけでAI感が消えます。手動編集でAI検出精度が20%以下に下がるデータもあります。  注意点として、ChatGPT以外にもClaudeは長文の壁打ちや添削に、NotebookLMは競合分析に、Perplexityはトレンドリサーチにそれぞれ最適です。1つのツールに頼らず使い分けてみてください。  詳しくは50分の動画講座とPDF50ページで解説してます。プロフィールのリンクから見れます。",https://www.threads.net/@kudooo_ai/post/DVqJpngFT1l,DVqJZ6JleMr
29,10,3,1/3,2026-03-09,2,4,755,53,,,,,"Threads全世界で広告開始されてルールが変わったの、知らない人損してます  重要なポイントを解説すると",https://www.threads.net/@kudooo_ai/post/DVqGqXakRgz,DVqGqXakRgz
30,10,3,2/3,2026-03-09,1,,,455,,,,,"3ヶ月でフォロワー3100名、LINE登録724件、256万インプ達成した1556件のデータ分析してる僕がマジで伝えたいんですけど、2026年1月21日にThreadsが全世界の全ユーザーに広告展開を開始しました。  画像・動画・カルーセル広告に対応してるんですけど、何が重要かっていうと「ボーナスタイムが完全に終了した」ということなんですよね。  2025年まではThreadsに広告がなくて、オーガニック投稿だけでリーチが取れる最高の環境でした。でも広告が入ったことでフィードの枠を広告と奪い合う状態になったんです。  つまり今までと同じクオリティの投稿だと確実にリーチが落ちます。  実際、2025年10月は平均2627impだったのが12月は平均1080impまで下がってます。それでも僕はThreads運用テーマに完全シフトして巻き返しに成功しました。MAU4.5億人、DAU1.41億人でXの1.25億人を上回ってるので、戦略次第でまだまだ伸ばせます。  じゃあ具体的にどうすればいいかっていうと▼",https://www.threads.net/@kudooo_ai/post/DVqG0zZEVix,DVqGqXakRgz
31,10,3,3/3,2026-03-09,1,,,496,,,,,"①投稿のフック（1行目）に全力を注いでください  広告と競合する環境ではスクロールを止める1行目が全てです。「あのー、〜しない方がいいですよ」「〜してる人、損してます」のような読者の手を止めるフックが必須です。データ上、ソフト助言型のフックが勝率25%で最強でした。  ②コメント展開型の投稿に切り替えてください  メイン50〜150文字の短文フック+コメント2つで合計900文字前後にするのが最強フォーマットです。短文で興味を引いてコメント欄で展開すると滞在時間が伸びてアルゴリズム評価が上がります。  ③投稿頻度を1日5投稿以上にしてください 広告が入った分、オーガニック投稿の枠が減ってます。数で補わないとリーチが取れません。  注意点として、広告開始でThreadsが終わるわけではありません。むしろ広告主が参入するということはプラットフォームとして成長してる証拠です。  詳しくは50分の動画講座と1.5万文字のテキストで解説してます。プロフィールのリンクから見れます。  最新Threads運用の情報を見逃したくない方は、僕を（@kudooo_ai ）フォローしておいてください。",https://www.threads.net/@kudooo_ai/post/DVqG99PEWEJ,DVqGqXakRgz
32,11,1,4/1,2026-03-09,1,,,10,,,,,"やってみてください！",https://www.threads.net/@kudooo_ai/post/DVpm3lBief4,DVo5kislUvj
33,12,7,1/7,2026-03-08,64,84,,40,,,,,"あのー、Threadsの新機能知らない人、マジで損してます。 新機能を解説すると",https://www.threads.net/@kudooo_ai/post/DVo0QvSEW5U,DVo0QvSEW5U
34,12,7,2/7,2026-03-08,10,,,413,,,,,"3ヶ月でフォロワー3100名、LINE登録724件、256万インプ達成した1556件のデータ分析してる僕がマジで伝えたいんですけど、2026年2月にThreadsに「Dear Algo」っていう新機能が追加されました。  これ何かっていうと、投稿に「Dear Algo」って書いて「もっと見たい」「見たくない」トピックを指定すると、AIがフィードを3日間カスタマイズしてくれる機能なんですよね。  現時点では米国・ニュージーランド・オーストラリア・英国の4ヶ国が対象なんですけど、Metaの新機能は大体3〜6ヶ月で全世界展開されます。  つまり「ユーザーがアルゴリズムを自分でコントロールする時代」が始まったということです。これ発信者側からすると、投稿テーマの一貫性がさらに重要になるんですよね。テーマがブレてるアカウントは、ユーザーに「見たくない」指定される可能性すらあります。  じゃあ具体的にどうすればいいかっていうと▼",https://www.threads.net/@kudooo_ai/post/DVo0daFkS8-,DVo0QvSEW5U
35,12,7,3/7,2026-03-08,8,,,499,,,○,,"①投稿テーマの一貫性を今すぐ見直してください  Dear Algoは「ユーザーが見たいテーマを指定する」仕組みなので、あなたのアカウントが何の専門家か明確じゃないと選ばれません。1556件分析した結論として、ニッチの一貫性があるアカウントほどアルゴリズム評価が高いです。  ②日常投稿を減らして専門投稿を80%以上にしてください  「今日のランチ」みたいな投稿が混ざると、AIのグルーピング精度が下がります。専門テーマに集中することで、Dear Algo経由の新規流入が期待できます。  ③海外の先行事例をチェックしてください  先行導入国のクリエイターがDear Algoをどう活用してるか見ておくと、日本展開時に即対応できます。  注意点として、Dear Algoはユーザー主導の機能なので発信者が直接操作できるものではありません。あくまで「選ばれる側」の準備をしておくことが大事です。  最新Threads運用の情報を見逃したくない方は、僕を（@kudooo_ai ）フォローしておいてください。  2026年最新版のThreadsノウハウはこちら▼ https://asto.jp/l/3p",https://www.threads.net/@kudooo_ai/post/DVo0mU1kQJi,DVo0QvSEW5U
36,12,7,4/7,2026-03-09,2,,,8,,,,,"これも必見です▼",https://www.threads.net/@kudooo_ai/post/DVpmlMGiW88,DVo0QvSEW5U
37,12,7,5/7,2026-03-09,0,,,2,,,,,"すご",https://www.threads.net/@kudooo_ai/post/DVpmwXzCQOK,DVo0QvSEW5U
38,12,7,6/7,2026-03-09,0,,,3,,,,,"すごい",https://www.threads.net/@kudooo_ai/post/DVpmzrACeJQ,DVo0QvSEW5U
39,12,7,7/7,2026-03-09,0,,,8,,,,,"目的は人それぞれ",https://www.threads.net/@kudooo_ai/post/DVpmvIRCVoN,DVo0QvSEW5U
40,13,4,1/4,2026-03-08,3,3,1070,34,,,,,"Threads新ルールで1番大事なのは、「滞在時間」なので解説すると",https://www.threads.net/@kudooo_ai/post/DVnkpdJljA6,DVnkpdJljA6
41,13,4,2/4,2026-03-08,0,,,409,,,,,"5ヶ月でフォロワー4342名、455万インプ達成した僕が、2068件のデータで確認済みの話をします。  2026年のThreads新ルール、マジで覚えておいてほしいのが「滞在時間」です。  おすすめ欄のアルゴリズムが、いいね数やコメント数だけじゃなくて、「その投稿にどれだけ長く滞在したか」を重視するようになってるんです。  僕も最初は短文投稿が正義だと思ってたんですけど、長文投稿に切り替えたら閲覧数がめっちゃ伸びて衝撃受けました。  短文は一瞬で読めるから滞在時間が短い。長文はじっくり読むから滞在時間が長い。この差がアルゴリズム評価にそのまま直結してるんです。  つまり、「読まれる長文」を書ける人が2026年のThreadsでは圧倒的に有利なんです。これヤバいですよね。  でも、ただ長ければいいわけじゃないのがポイントなんです。中身が伴わないと逆効果になります。  じゃあ具体的にどうすればいいかっていうと▼",https://www.threads.net/@kudooo_ai/post/DVnkwq_FsPj,DVnkpdJljA6
42,13,4,3/4,2026-03-08,0,,,425,,,,,"①投稿は最低300文字、理想は500文字で書く  短文より長文の方が滞在時間は確実に伸びます。でも長文でも冒頭がつまらなかったら離脱されるので、最初の2行で引き込むフックがマジで大事です。  ②改行を多めに入れて読みやすくする  500文字の壁みたいな文章は誰も読まないです。2〜3行ごとに改行を入れて、スマホで読みやすい見た目にしてください。めっちゃ滞在時間が変わります。  ③コメント欄に続きを書いて全体の滞在時間を伸ばす  本文+コメント3パートで読者を引き込めば、1投稿あたりの滞在時間がめっちゃ伸びます。本文末尾に「▼」を入れてコメント欄に誘導してください。  ■注意点 滞在時間が大事だからって、無駄に長い文章を書くのはNGです。中身が薄いと途中離脱されて逆効果になります。  「1文1情報」を意識して、密度の高い長文を書くのがマジで最強です。ここ、ヤバいくらい大事。  読まれる長文の書き方テンプレは、プロフィールのリンクから見れます。",https://www.threads.net/@kudooo_ai/post/DVnk3-KllqW,DVnkpdJljA6
43,13,4,4/4,2026-03-09,0,,,43,,,,,"1000名以上が受け取っている2026年最新版のAI×Threadsノウハウはこちら▼",https://www.threads.net/@kudooo_ai/post/DVpX_BvjfeZ,DVnkpdJljA6
